zinc_id,smiles
ZINC000002568171,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
ZINC000002570839,C=CC[C@H](CCC)C(=O)O
ZINC000002570845,C/C=C/[C@H](CCC)C(=O)O
ZINC000002570846,CCC[C@@H](C(=O)O)[C@H](O)CC
ZINC000002570852,C[C@H](C(=O)O)c1ccc2cc(O)ccc2c1
ZINC000002570884,CC(=O)Nc1c(NC=O)nc(O)n(C)c1=O
ZINC000002572599,O=C(O)[C@@H](c1ccccc1)[C@@H]1CCCCN1
ZINC000002572820,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)NCC[C@]314
ZINC000002578897,CCC[C@H](CCCO)C(=O)O
ZINC000002581450,CCC[C@H](C[C@@H](C)O)C(=O)O
ZINC000002584391,Cn1c(=O)[nH]c2c(=O)[nH]c(O)nc21
ZINC000002584392,Cn1c(O)nc2c([nH]c(=O)n2C)c1=O
ZINC000002598081,CC(=O)Cc1ccc(O)c(O)c1
ZINC000003612845,N=C(O)OC[C@H](CO)c1ccccc1
ZINC000003651513,O=S(=O)(/N=C(\O)NN1C[C@H]2CCC[C@H]2C1)c1ccc(CO)cc1
ZINC000003651514,O=S(=O)(/N=C(\O)NN1C[C@H]2CCC[C@@H]2C1)c1ccc(CO)cc1
ZINC000003651514,O=S(=O)(/N=C(\O)NN1C[C@H]2CCC[C@@H]2C1)c1ccc(CO)cc1
ZINC000003651516,O=S(=O)(/N=C(\O)NN1C[C@@H]2CCC[C@H]2C1)c1ccc(CO)cc1
ZINC000003812897,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
ZINC000003814360,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
ZINC000003814410,C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CC[C@@H]2O
ZINC000003815418,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O
ZINC000003830891,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
ZINC000003860156,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
ZINC000003869576,O=C1CC[C@@H](c2cccnc2)N1
