@relation hetero_trainingSetWithClass

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS3e numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute piPC3 numeric
@attribute AMW numeric
@attribute Class {0,1}

@data
2596.808169,-0.123263,-0.026135,0.959842,0.837222,1.274807,0.732586,1.00778,0.888934,0.886838,34.968854,5.548613,149.03,5.209912,0.875149,0.893196,4.762174,7.108525,1
2044.291718,-0.520385,-0.045523,1.025855,0.866676,0.906628,0.493656,0.852384,0.960661,0.977488,19.000608,4.118425,219.04,4.892464,0.835179,0.835179,4.727388,7.003829,1
1119.813751,-1.731563,-0.151036,0.914688,1.286565,1.224126,0.497384,1.043395,1.083092,0.632538,19.001257,3.501526,58.07,4.324863,0.914493,0.899635,4.276666,9.645058,1
14177.776065,-0.299793,-0.083107,0.433158,0.507503,3.249884,0.797863,1.244306,1.40684,0.563392,126.904578,6.713822,14.05,4.058814,0.973354,0.973354,3.871201,19.990958,1
2193.171421,0.964968,0.051681,0.800632,1.142511,1.329907,1.045351,1.504144,1.090129,1.098493,16.000966,5.164044,240.1,5.187396,0.881814,0.881814,5.01728,7.731815,1
2780.853953,-1.317544,-0.159608,1.035793,0.983768,1.822925,1.008879,1.404074,1.02773,0.956129,34.97106,4.343375,134.09,5.014997,0.977719,0.977719,4.718499,11.599403,1
1021.702341,-0.19231,-0.032666,0.853412,1.129043,1.173658,0.513512,0.921678,0.891054,0.745498,15.998705,4.646482,14.03,4.280395,0.905243,0.890385,3.73767,6.931939,1
471.626256,-0.418777,-0.170899,0.890973,2.233748,0,1.183147,0,1.559709,0.943994,15.994919,4.683245,34.07,3.773557,0.965872,0.965872,3.89182,10.136311,1
1860.741331,0.286736,0.020254,0.770152,1.006197,1.262527,1.345696,1.229221,1.054023,1.107242,19.000136,4.532681,198.08,5.094102,0.907278,0.907278,4.70953,7.656315,1
38473.492652,-1.636774,-0.237724,1.020491,1.551131,1.198756,1.006975,0.244202,0.844374,1.456079,126.906473,4.257244,64.07,4.840224,0.972827,0.986414,4.406719,20.72545,1
2436.183269,0.357672,0.086232,1.339471,0.820018,0.876519,0.834082,0.883729,0.906397,0.87694,31.972072,5.129484,23.03,4.880894,0.839214,0.833204,3.931826,5.814551,1
1958.27652,0.981499,0.057859,0.751806,1.063511,1.541495,1.333047,1.694409,0.994564,1.204639,19.000609,4.549374,205.09,4.773661,0.845815,0.845815,4.762174,7.84332,1
2252.897118,-0.315735,-0.044682,1.146556,0.992587,1.000072,0.523203,0.428791,1.096604,1.023601,15.995928,5.248328,149.02,5.461588,0.885419,0.882349,4.356709,5.484029,1
3745.96145,-0.634396,-0.121329,1.106112,0.977935,0.745032,0.899496,0.834346,1.166489,1.197577,34.97106,6.123657,124.06,4.97771,0.922379,0.941785,4.51086,10.153901,1
825.435064,0.295491,0.041639,1.015802,1.043679,1.102371,0.861425,1.0017,1.089932,1.013516,16.002056,3.471552,49.08,4.349649,0.961554,0.961554,3.970292,9.784286,1
13784.310343,-0.257655,-0.018384,0.254482,0.22529,0.219532,1.533174,0.975657,0.667389,0.73487,78.919338,3.499,41.1,4.414298,0.660482,0.673467,4.682131,7.59825,1
3846.191452,-1.057607,-0.136444,1.027086,0.705308,0.914622,0.755878,0.697447,1.136388,0.749767,34.97201,6.125072,129.07,5.028992,0.922379,0.951487,4.574711,10.615026,1
2146.816378,0.803578,0.148794,0.579836,1.266389,2.208729,1.333035,2.013634,0.88926,1.087018,34.970156,4.796143,14.05,3.969002,0.915852,0.877406,3.806662,10.13048,1
2519.464718,-0.514273,-0.095195,1.006544,0.840423,1.134876,0.724791,0.752801,0.991608,0.858868,34.970156,5.204703,58.05,4.80197,0.951942,0.951942,4.158883,8.971161,1
3576.914987,2.822208,0.176365,0.977583,0.969675,1.10627,1.002342,1.085558,0.950474,0.964945,34.969381,5.384835,82.09,5.456565,0.918119,0.923763,4.043051,7.069665,1
1383.977458,-1.25004,-0.105948,0.910316,1.023224,1.337066,1.090429,1.371807,0.984481,0.98016,16.000805,3.726104,134.07,5.053056,0.958874,0.949478,4.718499,8.802053,1
2521.542646,-0.139133,-0.014404,1.283869,1.105886,1.064091,0.811042,0.884855,1.161057,0.820098,15.99694,4.318749,103.06,4.488428,0.720591,0.720591,4.543295,6.230864,1
1715.44739,-1.74419,-0.126545,1.068284,0.986535,0.842711,1.279439,0.776611,1.170672,1.090425,19.000136,4.100631,124.08,4.805911,0.880295,0.880295,4.304065,7.662359,1
2230.757267,-0.066544,-0.00523,0.954273,0.960186,0.948385,0.598385,1.097968,0.942659,1.041703,31.972072,3.751846,124.06,4.629412,0.861721,0.853149,4.532599,8.188886,1
1529.669344,0.185602,0.015141,0.758173,0.998889,1.335734,1.400679,1.325119,0.986305,1.170271,18.998407,4.476653,119.08,4.653056,0.874318,0.874318,4.553877,8.003212,1
2691.704983,-0.777205,-0.124525,0.928377,0.678935,1.063295,0.654073,1.142176,1.025552,0.867973,34.968854,4.934321,144.05,5.116265,0.873384,0.873384,4.70953,6.882892,1
1568.211969,-0.331168,-0.021387,0.972038,1.079995,1.158674,1.134952,0.671347,1.080214,0.910467,15.998934,4.745096,149.05,4.862206,0.892861,0.901691,4.110874,6.717779,1
2637.943284,-0.571926,-0.055232,0.968054,0.978339,1.045735,1.004665,0.835973,1.098244,0.957668,31.972073,4.912449,322.06,5.438934,0.911547,0.917076,5.010635,7.756821,1
1043.832351,-0.771978,-0.120286,0.796982,1.063746,1.357778,1.223522,1.63358,0.994287,1.149498,15.998708,4.464153,52.05,4.461092,0.918302,0.918302,4.330733,8.002924,1
1378.682539,-2.013196,-0.106844,0.844062,0.926386,1.326657,0.762276,1.480011,0.802405,0.994942,19.000414,3.742682,61.1,4.671781,0.942995,0.942995,4.043051,9.550387,1
2095.309116,-0.272127,-0.04544,0.930445,0.66595,1.361779,1.024966,1.095369,0.839694,0.771874,34.96938,5.922557,170.05,4.753774,0.878198,0.887303,4.615121,7.978386,1
1645.139214,-1.472197,-0.231737,1.176289,0.906166,1.318003,0.794132,1.212324,1.155408,1.033641,31.972072,4.792889,58.08,4.542748,0.929972,0.91695,4.369448,9.034291,1
2125.960699,-2.218887,-0.136882,0.922864,0.876069,0.817619,0.93349,0.451213,0.899097,0.841164,31.972073,4.173262,149.11,5.048017,0.938865,0.930293,4.672829,9.885249,1
