@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithoutNans50

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC5 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
2519.464718,-0.514273,1.006544,1.134876,0.752801,0.858868,34.970156,5.204703,58.05,4.80197,0.951942,8.971161,721,1
3576.914987,2.822208,0.977583,1.10627,1.085558,0.964945,34.969381,5.384835,82.09,5.456565,0.923763,7.069665,1843,1
1383.977458,-1.25004,0.910316,1.337066,1.371807,0.98016,16.000805,3.726104,134.07,5.053056,0.949478,8.802053,1592,1
2521.542646,-0.139133,1.283869,1.064091,0.884855,0.820098,15.99694,4.318749,103.06,4.488428,0.720591,6.230864,3864,1
1715.44739,-1.74419,1.068284,0.842711,0.776611,1.090425,19.000136,4.100631,124.08,4.805911,0.880295,7.662359,1467,1
2230.757267,-0.066544,0.954273,0.948385,1.097968,1.041703,31.972072,3.751846,124.06,4.629412,0.853149,8.188886,1286,1
1529.669344,0.185602,0.758173,1.335734,1.325119,1.170271,18.998407,4.476653,119.08,4.653056,0.874318,8.003212,1116,1
2691.704983,-0.777205,0.928377,1.063295,1.142176,0.867973,34.968854,4.934321,144.05,5.116265,0.873384,6.882892,2125,1
1568.211969,-0.331168,0.972038,1.158674,0.671347,0.910467,15.998934,4.745096,149.05,4.862206,0.901691,6.717779,627,1
2637.943284,-0.571926,0.968054,1.045735,0.835973,0.957668,31.972073,4.912449,322.06,5.438934,0.917076,7.756821,3843,1
1043.832351,-0.771978,0.796982,1.357778,1.63358,1.149498,15.998708,4.464153,52.05,4.461092,0.918302,8.002924,470,1
1378.682539,-2.013196,0.844062,1.326657,1.480011,0.994942,19.000414,3.742682,61.1,4.671781,0.942995,9.550387,775,1
2095.309116,-0.272127,0.930445,1.361779,1.095369,0.771874,34.96938,5.922557,170.05,4.753774,0.887303,7.978386,1075,1
