@relation amps_padel2d_WithoutNans50_WithoutNames

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC5 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
6665.928386,1.578542,0.97272,1.098423,1.363851,0.948259,31.972075,4.414702,414.28,6.665181,0.905897,7.113358,42762,1
9550.925789,-2.122607,0.951286,1.052256,1.224124,0.961248,31.974087,4.233137,103.44,6.62917,0.863232,7.388789,84156,1
6484.654515,-0.703861,0.996112,1.055207,1.222834,0.955954,31.972075,3.924962,419.29,6.50144,0.891265,7.506412,44436,1
8054.411466,3.85999,0.951291,1.054813,1.54365,0.962574,16.006671,4.409634,2247.3,6.370946,0.813358,6.872309,93021,1
1297.662907,0.415653,0.758182,0.986981,1.156745,0.910223,31.973096,4.118068,230.87,6.311139,0.803788,6.829592,964234,1
9142.211563,1.495877,0.949101,1.096667,1.315793,0.911757,31.973083,4.229032,1268.36,6.771586,0.871708,7.356567,106762,1
717.378394,-0.948578,0.874444,1.158243,1.157389,0.902622,16.055027,3.819644,1380.06,6.628541,0.818006,7.118608,1401691,1
11233.562612,6.341769,0.985824,1.143166,1.322542,1.023385,16.019998,3.7862,424.47,6.075997,0.737094,6.598047,228664,1
9099.596626,3.232367,0.981634,1.027527,1.451679,0.973448,16.008755,4.102183,3469.36,6.497326,0.811595,7.085474,141161,1
6306.99799,-0.234889,1.032049,1.016788,1.245671,0.921033,16.009567,4.376012,1219.29,6.638413,0.894924,7.371887,54084,1
12705.708996,3.841409,0.916468,1.05852,1.268086,0.970783,31.973087,4.394886,1366.56,7.016229,0.848725,6.997242,252185,1
711.544702,-0.003191,0.891863,1.213518,1.213236,0.943561,16.051297,3.92482,1485.13,6.771229,0.824809,6.905191,1827384,1
405.617607,0.154902,0.913778,1.162304,1.162196,1.048893,16.023511,3.923073,553.66,6.168571,0.8199,6.675863,427870,1
11061.429379,3.888678,0.977076,1.067876,1.268632,0.953121,31.972078,4.112118,400.45,6.557375,0.804611,6.683513,177357,1
9321.489029,5.264566,0.991399,1.171922,1.59842,1.022523,16.00868,4.393107,349.33,5.374046,0.667596,6.174163,107219,1
827.460337,-0.777283,0.885201,1.163776,1.163053,0.933305,16.063499,3.910202,328.23,6.7155,0.803949,6.843556,2514124,1
468.392539,2.155218,0.881785,1.168433,1.168305,1.106303,16.026991,4.224182,2500.71,6.302399,0.806575,6.691911,766026,1
828.54347,1.431469,0.659798,1.012946,1.221838,0.986723,31.972082,4.100423,2302.71,6.916033,0.898946,7.020561,651254,1
10399.171003,-2.34753,1.037631,1.023631,1.172021,1.0376,16.020025,3.815831,989.52,6.483309,0.800084,7.163681,197883,1
1858.206166,1.35921,0.69215,0.917344,1.200918,0.94122,31.974124,3.894999,328.2,6.702519,0.802395,6.822391,2527940,1
8860.482809,-0.192622,1.049775,1.089674,1.202534,1.049605,16.020814,3.904831,115.44,6.07833,0.775376,7.138931,137010,1
11070.174722,1.999897,1.004322,1.022717,1.32171,0.964958,31.972079,4.213471,1609.5,6.848374,0.84137,7.20218,211854,1
9216.757417,3.531909,1.010986,1.109393,1.383602,0.952182,16.013752,3.929897,1132.35,6.473853,0.810378,6.799094,128352,1
13748.252407,0.934185,1.019389,1.017059,1.425162,1.024605,16.017431,4.512614,6518.65,6.583047,0.767485,7.304767,508295,1
7415.221547,4.456383,0.962084,1.166588,1.489937,0.976139,16.006592,4.424914,92.27,5.686003,0.737737,6.21962,56482,1
11268.561935,0.087794,0.967367,1.041156,1.261367,0.974002,31.973085,3.708031,954.5,6.722557,0.831232,7.102973,158050,1
7767.2457,2.774725,1.031233,1.115769,1.425982,0.987354,16.00961,3.928239,730.28,6.073223,0.783148,6.647444,76799,1
1414.066317,0.416405,0.690788,1.091359,1.158609,0.964053,31.973103,3.845443,1475.02,6.625408,0.808009,6.76231,1755254,1
17580.425276,0.654711,0.977447,1.102468,1.208393,0.981864,31.973093,3.892714,205.78,6.169636,0.705247,6.915321,641888,1
1221.355916,0.568861,0.737083,0.915194,1.212722,0.886837,31.973093,4.123657,202.76,6.325218,0.825939,6.960611,626344,1
701.185012,-1.402103,0.87726,1.157126,1.156336,0.897302,16.053818,3.9126,267.03,6.375641,0.790954,6.900525,1363718,1
15841.947614,-0.660807,0.991705,1.076235,1.292496,0.967044,31.974101,4.153598,1744.72,6.890954,0.805527,7.312008,519066,1
10300.149406,4.130406,1.030136,1.148863,1.44714,0.984867,16.014852,4.228446,961.4,6.232166,0.764707,6.694077,184829,1
9960.432549,2.568017,1.008278,1.052154,1.309592,1.00243,31.972077,4.375287,609.42,6.627481,0.830795,6.849048,153643,1
8161.365818,4.503547,0.960909,1.149908,1.311844,0.993994,16.009614,4.415339,98.33,5.570492,0.712906,6.270956,78508,1
10420.042088,6.233176,1.013215,1.208851,1.616131,1.027124,16.01074,4.393102,125.36,4.686137,0.570147,6.00445,142856,1
15428.130381,4.790553,1.021059,1.11273,1.442002,1.034961,16.022629,4.097815,2236.69,5.754221,0.660064,6.711908,577092,1
19104.793405,-0.991076,0.994218,1.050494,1.167933,0.990752,31.972084,3.913487,715.91,6.743985,0.755896,7.007831,919096,1
10582.74157,-7.267984,1.049942,0.991055,1.059264,1.023565,16.02518,3.840974,714.6,6.431827,0.795284,7.40793,184267,1
12349.909496,6.26935,0.956877,1.089588,1.310763,0.973532,31.972079,4.388821,754.5,6.366885,0.766325,6.745165,255399,1
7872.434315,4.034709,0.964995,1.138167,1.438452,0.964176,16.007623,4.404267,509.31,6.335363,0.81486,6.479053,77892,1
10164.007363,-1.347232,0.97602,1.024313,1.068123,1.00374,31.972078,3.904497,122.48,6.008819,0.756539,7.157928,140046,1
12724.139895,7.30794,0.974173,1.177005,1.581406,1.014491,16.013981,4.393084,794.46,5.515896,0.649245,6.178878,270784,1
14487.477085,3.004445,0.982082,1.10168,1.278544,0.959018,31.97208,3.893829,535.61,6.621348,0.774359,6.75323,396848,1
9580.967533,1.851677,0.983889,1.08888,1.273813,1.009417,16.017832,4.117955,121.45,6.460324,0.809261,6.802307,131978,1
17590.051936,1.820208,1.023138,1.085407,1.298571,1.020006,31.972083,4.102679,661.8,6.52741,0.740322,6.941677,833521,1
13908.34831,5.686512,0.992477,1.109354,1.286437,0.999758,16.023419,3.90265,1627.59,6.626079,0.773872,6.673307,424199,1
363.669536,2.11218,0.884348,1.22276,1.223742,1.098655,16.019255,4.491722,1961.54,6.281193,0.842047,6.658076,370497,1
12159.653927,2.659698,0.97212,1.088236,1.273416,1.011262,31.972079,3.789884,143.53,6.038345,0.730434,6.718192,223693,1
10757.422306,-0.43064,1.022789,1.054729,1.211602,0.995481,16.019014,4.232072,421.53,6.726388,0.824836,6.947725,187930,1
7576.725159,1.766971,0.993655,1.005664,1.462176,1.011567,16.005678,4.392374,2171.32,6.410766,0.828831,7.088331,83793,1
11773.196726,0.97884,1.004057,1.060805,1.330412,1.017198,16.019176,3.902956,2142.56,7.041314,0.847036,7.110682,282332,1
293.241387,1.914269,0.912574,1.279604,1.28127,1.146901,16.012951,4.491801,2077.45,6.38644,0.8755,6.585424,257396,1
8192.343824,-0.942269,1.042081,1.053122,1.236661,1.017567,16.009662,4.10029,102.41,5.991091,0.770579,6.689093,81168,1
8178.11382,3.164144,0.990497,1.098117,1.223398,0.968667,16.012639,4.108082,103.34,6.009278,0.771617,6.601271,88040,1
12229.880615,5.361719,0.965841,1.114229,1.317163,1.032359,31.972079,4.371133,143.52,5.883079,0.710053,6.632178,246400,1
