@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithouNans50_WithoutNames

@attribute ATS1m numeric
@attribute AATS5m numeric
@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS5c numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS1c numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTc-1l numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute RotBtFrac numeric
@attribute EE_D numeric
@attribute MWC10 numeric
@attribute AMW numeric
@attribute Class {0,1}

@data
4933.467534,86.746715,1729.380419,-1.734954,0.323165,-0.393507,-0.146514,1.332167,1.570269,0.989603,0.732811,0.919086,1.15253,1.000828,0.920151,0.976075,31.972072,-0.330343,4.912005,142.787411,6.708406,4.66391,0.932782,0.932782,23.767402,0.227273,72.280512,12.534797,9.376651,1
4025.909636,60.168465,1368.822861,0.056571,-0.08724,0.090284,0.00973,1.644878,0.873268,1.144274,1.378056,1.246362,1.153477,1.341611,0.94717,0.881991,15.994921,-0.395176,4.480872,187.112526,8.866269,4.875146,0.922379,0.922379,14.871127,0.25,90.211142,12.027191,7.337287,1
7713.03116,105.380552,3157.379091,0.560051,-0.041732,-0.113056,0.036519,1.546978,0.979201,0.79752,1.170548,1.070903,0.932844,1.272707,0.862216,0.968596,31.973075,-0.34986,4.238109,385.411756,8.209799,5.437479,0.932263,0.924326,22.726927,0.375,256.367445,12.532267,9.255918,1
5186.350862,76.443503,2144.776592,-0.198633,-0.019981,0.012635,-0.015711,1.330666,0.912756,1.204911,0.931838,1.013147,1.555641,1.002598,0.978061,1.278146,31.972072,-0.327702,4.525597,291.913098,7.745698,4.757546,0.876763,0.876763,21.353023,0.178571,112.507035,12.359913,8.444309,1
3988.074276,65.042925,1699.282159,-1.605941,-0.177618,-0.234354,-0.189404,1.343424,1.286757,0.741557,0.963121,0.872397,1.301915,1.280827,0.919899,0.803681,31.972072,-0.245322,3.889787,82.272671,5.672585,4.254196,0.875713,0.875713,23.075906,0.5,58.094152,11.208233,8.519403,1
4538.507675,66.168341,1574.136835,-0.334566,-0.026505,0.134265,-0.0272,1.372457,0.785776,0.909005,1.368452,0.934746,1.305919,1.518216,1.106802,1.140693,18.998407,-0.346487,4.514278,227.742933,8.187859,4.678032,0.867536,0.867536,17.463094,0.185185,106.66287,12.247737,7.884124,1
6940.079047,92.644571,3154.250345,1.171284,-0.004815,-0.055459,0.085156,1.544142,0.905429,0.786985,1.335575,1.085186,1.085913,1.541592,0.906275,0.990703,31.973074,-0.342592,4.677809,311.339846,8.235166,5.173252,0.89081,0.89081,22.178652,0.342857,196.159445,12.502403,8.57366,1
5661.296348,106.289725,2340.504067,0.349769,-0.06633,-0.082786,0.036209,1.522599,0.94281,0.992493,0.995255,1.352199,1.108963,1.306376,1.056099,1.090783,31.973074,-0.345664,4.626961,223.021567,6.890262,5.131556,0.970892,0.970892,25.322958,0.321429,135.290798,12.281482,10.129123,1
5636.921329,75.514635,2169.853463,-0.341666,0.092234,-0.293103,-0.029365,1.451121,1.492241,1.020716,0.839576,1.579494,1.368842,0.896522,1.040863,0.802396,31.972072,-0.278728,4.687711,271.706607,12.896421,4.952591,0.89663,0.89663,19.858854,0.290323,149.210838,12.581302,8.697755,1
6343.728319,48.974434,2831.68995,4.596382,-0.002461,0.050838,0.152986,1.505702,0.948399,1.067795,1.029415,1.083789,0.986659,0.928232,1.015789,0.930343,16.004987,-0.393528,4.407394,322.792205,151522.454013,5.644756,0.903307,0.924079,16.652341,0.485714,197.484005,12.354635,7.017943,1
4965.962149,95.861285,3024.275379,0.318904,-0.023843,0.126607,0.022931,1.392955,0.550896,1.215563,0.969705,1.113965,1.326875,1.383588,0.786009,1.244833,34.969855,-0.346502,2.729995,233.626557,8.512812,4.739574,0.871287,0.868144,24.262639,0.25,709.782713,12.420252,9.115248,1
5909.587957,45.150523,2605.989712,2.89864,-0.002864,-0.013145,0.136357,1.581397,1.051295,1.149167,1.118116,1.207733,1.072857,0.980464,0.948245,1.085054,16.001679,-0.409201,5.203206,297.100825,14.61558,5.594672,0.909385,0.919048,15.927283,0.454545,179.949449,12.262193,6.57749,1
10736.440724,52.807543,4675.38089,-3.769019,0.016282,-0.079053,-0.101774,1.487933,1.133581,1.02527,0.983029,1.016026,1.191604,0.904234,1.036302,1.19051,16.009078,-0.378363,4.042826,709.782713,45.059227,6.141026,0.867401,0.883068,13.500152,0.433333,445.321398,12.916394,6.560089,1
6342.366888,67.573818,2792.140541,-0.747808,-0.048629,-0.175533,-0.047225,1.764956,1.378823,1.06464,1.206145,1.572749,1.016869,1.042692,1.095434,0.800878,31.972073,-0.316808,3.934889,307.227976,28.298639,5.289091,0.899101,0.899101,18.969407,0.470588,210.450594,12.488643,7.884016,1
6135.729634,47.338799,2751.287896,3.423508,-0.005808,0.032805,0.12896,1.545094,0.978481,1.08663,1.054841,1.101988,0.936646,0.907738,0.995438,0.945812,16.002978,-0.393505,4.407583,310.033989,16.954281,5.702727,0.914588,0.933569,16.52764,0.470588,189.21077,12.277281,6.771871,1
6065.849646,95.483335,2627.594136,-0.34207,-0.023428,-0.166573,-0.027351,1.642135,1.105786,1.044742,0.83998,1.270933,1.073215,0.825777,1.118456,0.98996,31.973791,-0.352595,3.89052,245.62762,7.469726,5.169548,0.946902,0.946902,23.831833,0.4,154.685938,12.476676,9.682795,1
16444.618698,58.365201,7767.051422,1.103567,0.124222,0.012046,0.021606,1.761044,0.886592,0.912289,0.977256,0.979542,1.122341,1.112961,0.876019,0.942316,31.972833,-0.391957,4.98892,709.782713,90.311591,5.294238,0.693044,0.700088,17.157873,0.581395,709.782713,12.66947,6.702291,1
8575.325439,113.221874,3750.933805,-0.709486,-0.101377,0.033084,-0.05086,1.567238,0.862699,1.284308,0.978186,1.298245,0.918815,0.767235,1.383574,1.235126,31.975078,-0.352702,4.882962,367.243999,9.813979,5.359811,0.942322,0.935734,27.827506,0.384615,251.807474,12.7582,10.849097,1
11615.038876,55.468656,4645.086621,-1.375038,-0.043395,0.028778,-0.042646,1.398282,0.956187,0.877872,1.014849,0.825964,1.087656,1.110858,0.988457,1.142256,16.006082,-0.392638,4.276935,709.782713,14.352237,6.295463,0.897704,0.900808,14.215241,0.279412,560.864345,13.158435,6.901197,1
5572.534665,67.683157,1986.712843,0.908112,-0.064539,0.132935,0.057655,1.35077,0.781745,0.986232,1.20803,1.157411,1.308601,1.284305,1.017871,1.009104,18.998408,-0.346846,4.533531,327.311704,7.796282,5.260847,0.918457,0.918457,16.709292,0.212121,143.404612,12.604993,7.569341,1
19223.046592,80.934584,8086.12325,1.14691,0.042132,-0.027687,0.018185,1.504297,0.91342,0.87337,0.867821,0.984867,1.013641,1.034107,0.93349,0.91152,34.969862,-0.412206,4.440634,?,?,7.062986,0.935538,0.946853,18.804134,0.3,709.782713,13.551189,8.224035,1
6406.266612,110.242007,2582.766767,0.188674,-0.02672,-0.12494,0.015338,1.545228,1.007274,0.949825,1.043887,1.157916,1.125804,0.958821,1.022642,1.130875,31.973074,-0.345702,3.609237,268.8953,7.990169,5.314075,0.967629,0.967629,24.891904,0.375,177.069365,12.328339,10.067584,1
9133.318116,89.27691,3565.302953,1.209124,0.155122,0.056061,0.06327,1.578271,0.869239,0.906536,0.945361,1.185853,1.127608,1.112873,1.233953,0.897935,31.973076,-0.360559,4.84765,521.765541,11.184393,5.793429,0.949866,0.945205,22.634831,0.333333,348.571776,12.705838,9.201923,1
6859.773962,125.094718,2813.373434,-0.361911,0.090742,-0.171973,-0.039934,1.483759,1.11614,1.088644,0.800136,1.358695,1.128171,1.005443,1.115501,1.103736,31.974075,-0.279635,4.903762,288.558162,20.17398,5.136249,0.952512,0.952512,27.111071,0.3125,177.644931,12.288182,10.786243,1
4623.648811,62.813982,2043.386885,-0.189884,0.125813,-0.34005,-0.019099,1.528749,1.571369,1.040646,0.786854,1.477928,1.448506,0.982886,1.046686,0.919266,31.972072,-0.330366,4.776868,189.059223,10.765662,4.784143,0.892972,0.892972,19.276582,0.32,112.206223,12.298748,8.148749,1
5800.683467,75.272372,1958.905149,0.167104,0.095181,0.083405,0.008446,1.312304,0.757767,1.096385,1.133553,1.116429,1.30063,1.160218,1.088853,1.077752,16.002576,-0.416113,5.175428,480.500326,79.291017,5.322076,0.929146,0.929146,15.936262,0.257143,150.643964,13.00378,8.323204,1
4559.183328,73.514822,1645.139214,-0.650275,0.039492,-0.11595,-0.102359,1.629281,1.161445,0.956359,1.040457,1.131925,1.313423,1.225799,1.110476,0.860658,31.972072,-0.345629,4.695473,124.301894,8.67358,4.542748,0.929972,0.91695,22.561528,0.3,82.936286,11.396246,9.034291,1
5004.201805,61.358372,2189.255558,0.026066,0.030441,-0.303357,0.002128,1.568396,1.490945,0.982503,1.029828,1.222489,1.152164,1.002151,1.055589,0.914478,31.972072,-0.360531,4.781188,207.097335,10.598892,4.925119,0.910456,0.90213,20.26461,0.37037,128.321932,12.394894,8.29783,1
3613.790197,77.987257,1042.532787,-0.497908,0.021324,0.097422,-0.056792,1.326516,0.743903,0.893662,1.722247,0.718898,1.321955,1.767448,1.09123,1.303401,15.999748,-0.337888,4.364202,194.41789,28.544046,4.556088,0.937856,0.937856,17.574563,0.190476,68.414157,11.954883,9.036516,1
6807.089411,92.176773,2763.878081,-1.974759,-0.03887,-0.137344,-0.136917,1.716609,0.976964,0.839368,1.000668,1.226332,0.936248,0.914837,0.833273,0.750729,31.973074,-0.329381,4.23421,185.307575,11.205962,4.846974,0.893723,0.882575,25.145532,0.482759,154.40976,12.189359,9.667819,1
1705.180394,46.110359,610.904606,0.128718,0.037668,0.018067,0.04992,1.368142,0.878795,1.220281,0.73759,1.180435,0.446885,0.639366,1.302764,0.90283,15.994918,-0.344394,4.603742,41.881576,3.830092,3.969816,0.971218,0.971218,16.924565,0.3,24.960277,10.12202,8.062289,1
5194.848527,68.406096,3239.016905,0.113493,-0.024137,-0.001549,0.00947,1.423947,0.700702,0.700587,1.26316,0.908904,0.85984,1.069296,0.916662,0.708486,34.969855,-0.41003,4.777025,119.197782,8.767056,4.815623,0.942214,0.931469,27.900521,0.571429,98.909503,11.422596,9.861244,1
9688.11375,42.405014,4495.048026,0.844486,0.000917,-0.056796,0.025151,1.477081,1.169859,1.08408,0.991642,1.123453,1.167532,0.937242,1.023579,1.145987,16.006428,-0.40745,5.279212,709.782713,40.492434,6.256064,0.89961,0.89961,13.293624,0.481481,370.158711,12.816873,6.036359,1
6775.195284,73.08334,2570.151646,0.621943,-0.004411,-0.197253,0.042711,1.611686,1.355804,0.975869,1.071025,1.509863,1.218903,1.176281,1.045966,0.792208,31.972073,-0.316794,4.552232,402.444273,12.143619,5.420438,0.921003,0.929289,18.708719,0.263158,221.751026,12.71927,8.44089,1
4872.585184,73.041636,1809.745123,0.367068,-0.038925,0.029836,0.019578,1.297309,0.819263,1.004007,1.079212,1.232641,1.482856,0.922385,1.160063,1.049034,19.00126,-0.327712,3.61693,249.143487,7.55728,4.805911,0.880295,0.880295,19.835895,0.321429,123.160265,12.257626,8.389319,1
2809.105128,45.170187,1074.709827,-0.750191,-0.089908,-0.035456,-0.097022,1.638725,0.993779,1.115411,1.192579,1.233544,0.922754,1.144124,1.016485,0.840923,15.996926,-0.393147,4.223443,89.501574,8.782737,4.521641,0.940567,0.940567,17.190743,0.25,51.05277,11.23378,7.539132,1
4114.80035,78.068201,1507.003107,-0.855035,-0.05229,-0.084298,-0.168068,1.665382,1.153472,1.064981,0.966223,1.632656,1.270794,1.458806,1.139423,0.94549,31.972072,-0.337094,5.718603,106.566309,10.010811,4.521641,0.955425,0.940567,21.562035,0.222222,65.213075,11.264118,8.8949,1
3241.297754,59.185877,1174.479632,1.571516,-0.041528,0.003297,0.150608,1.445093,0.959755,1.052286,1.021245,0.960769,0.825364,0.971818,0.927911,0.892778,15.998935,-0.393268,4.267353,99.800582,6.711063,4.72005,0.971607,0.971607,19.195302,0.388889,62.894843,11.602684,8.416578,1
2777.725655,73.246287,1623.406611,-0.09886,0.085023,-0.060143,-0.014529,1.366595,0.874421,0.678617,2.021875,0.987791,1.590028,1.401387,1.25025,0.848892,34.968853,-0.389457,3.826862,66.480439,5.771221,4.220176,0.920438,0.920438,24.681708,0.571429,44.772006,11.046994,9.126711,1
4636.242268,101.338058,1954.441215,-1.131058,-0.109348,-0.208196,-0.234977,1.721712,1.313569,0.683085,1.286323,1.393932,0.748077,2.326189,1.056233,0.590023,31.973073,-0.337092,5.732295,101.201571,21.933105,4.282484,0.916227,0.900649,25.931353,0.277778,65.130365,11.360671,10.000908,1
4223.53628,52.475292,1585.344026,-2.557422,0.025149,-0.197551,-0.268536,1.675769,1.154109,0.902698,0.89488,0.819864,1.022098,1.037933,1.024814,0.93619,15.997939,-0.316453,3.859463,186.952728,7.115353,4.451608,0.825546,0.825546,17.147643,0.5,119.541838,11.493997,7.646279,1
5361.794382,65.365182,2957.942962,0.332827,0.001019,-0.02727,0.019937,1.558044,1.220096,1.10294,1.214795,0.889267,0.79336,0.701609,1.369056,1.277326,31.972073,-0.417282,1.437,216.061876,8.640587,4.503865,0.762476,0.762476,19.055133,0.428571,709.782713,12.485933,7.286386,1
7583.654002,60.768368,3232.701944,2.001883,0.070672,-0.013234,0.065084,1.528821,1.000435,1.005651,0.949661,1.090236,1.048445,0.969933,1.16279,0.907849,16.006407,-0.398175,4.355399,418.059547,15.682216,5.753024,0.904599,0.912631,17.547955,0.52381,257.749585,12.69186,7.357793,1
4487.597768,76.09085,1722.455452,-1.376813,-0.187813,-0.156202,-0.250833,1.799547,1.200686,1.050222,1.245803,1.571506,0.942594,2.819876,1.08066,0.851839,31.972072,-0.302527,5.726288,125.237678,9.545154,4.513795,0.906829,0.894814,20.872574,0.3,78.476518,11.472884,8.42678,1
4563.167344,75.832283,1645.139214,-0.886976,0.100715,-0.107574,-0.137291,1.65925,1.154265,0.900106,0.986652,1.130232,0.920902,1.185018,1.186587,0.813039,31.972072,-0.337153,4.653785,124.301894,8.67358,4.542748,0.929972,0.91695,22.561528,0.3,82.936286,11.396246,9.034291,1
5979.066129,50.951168,2653.818231,3.956158,0.023617,0.041176,0.144517,1.510593,0.96134,1.026644,1.015249,1.044072,0.936341,0.93244,0.985183,0.884065,16.003978,-0.393505,4.26998,295.49449,24.103855,5.714676,0.918253,0.948908,16.676788,0.484848,171.301231,12.3139,6.988115,1
11222.418714,57.974613,4466.722567,-1.298424,-0.061736,0.009693,-0.043347,1.451791,0.977128,0.873311,0.976262,0.831457,1.076962,1.042187,0.903204,1.156336,16.005065,-0.392638,4.277094,709.782713,22.939065,6.18594,0.891907,0.891023,14.103141,0.287879,506.021973,13.28514,6.881638,1
11627.627595,43.009344,5214.237148,-3.735203,-0.176773,-0.073316,-0.085225,1.463287,1.091974,1.093229,1.018458,1.209966,0.820879,1.074686,1.013803,0.951634,16.011398,-0.408883,4.52455,709.782713,50.596299,6.611935,0.908984,0.930142,13.514626,0.283582,687.47956,12.608476,6.691941,1
4319.119471,79.295884,1595.126037,-1.18157,-0.097965,-0.124886,-0.222823,1.762157,1.178994,0.978528,1.159497,1.492531,1.24737,2.312003,1.077936,0.836502,31.972072,-0.337096,5.718451,116.071699,8.747346,4.481728,0.92694,0.913354,21.72459,0.263158,71.990489,11.364669,8.80227,1
7372.55591,95.817975,3051.250856,0.048275,0.118231,-0.006844,0.003465,1.561015,0.95079,0.883108,0.923575,1.014028,1.031767,1.114458,1.265184,1.095091,31.973075,-0.349929,4.017061,407.131194,31.892091,5.593069,0.956951,0.963101,23.163729,0.368421,249.788198,12.428636,9.269633,1
4218.560134,86.483416,1547.127515,-1.478126,-0.10516,-0.195825,-0.239478,1.635269,1.262232,0.789516,1.10158,1.32735,0.717658,2.044791,1.18287,0.655843,31.972072,-0.337093,5.600151,101.201571,21.933105,4.351823,0.920101,0.905243,22.74612,0.277778,65.130365,11.360671,9.037575,1
9671.65045,44.694279,4452.370156,0.071018,0.003968,-0.033092,0.002047,1.437028,1.131493,1.030755,1.011814,1.058472,1.174143,0.966298,1.063391,1.127809,16.007402,-0.407775,5.280049,709.782713,41.436687,6.170364,0.882262,0.891818,13.094234,0.481481,364.254522,12.85789,6.177495,1
3478.398673,64.374776,1155.226026,-0.894847,0.045524,0.006712,-0.080326,1.331229,0.84894,0.920937,1.581554,0.766343,1.469207,2.07141,1.000067,1.182844,18.998406,-0.346459,4.513113,193.22303,11.244544,4.671781,0.942995,0.942995,17.238592,0.190476,65.062162,12.069113,8.421939,1
20412.769022,42.704817,9345.20493,7.527369,-0.001601,-0.034802,0.101315,1.636699,0.996384,1.041302,1.051977,1.101482,0.991583,0.929584,0.887729,1.021264,31.972834,-0.388321,5.0565,352.785827,12847.527087,5.794034,0.734676,0.740908,16.935072,0.471698,709.782713,13.400769,6.583492,1
5868.097297,107.318867,2110.037851,-0.774007,-0.014855,-0.061763,-0.059116,1.558412,0.980424,0.960703,0.93844,1.209686,1.319784,0.708852,1.22158,1.091691,31.972073,-0.315271,3.886388,260.548558,6.999869,5.215002,0.955228,0.955228,22.425192,0.387097,168.526386,12.29954,9.615024,1
4571.605399,72.931516,2135.1518,1.11663,0.054816,0.012517,0.099195,1.565235,0.926512,1.023356,0.904448,1.218111,1.246017,1.108448,1.164384,1.001424,34.96938,-0.327062,4.676689,208.767946,7.255891,5.071928,0.953025,0.953025,20.768778,0.307692,119.040872,12.168168,8.727073,1
5417.34434,96.091602,1675.895355,-0.742494,-0.004017,0.024725,-0.039751,1.421998,0.867682,0.908833,1.044138,0.975129,1.02056,1.011206,0.737131,0.999151,19.001262,-0.328129,4.084821,303.220268,12.035439,5.169548,0.950045,0.946902,20.459218,0.25,145.986601,12.396242,9.18431,1
