@relation hetero_trainingSetWithClass-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC5 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
0.039956,0.501463,0.529552,0.284446,0.305889,0.370515,0.185696,0.706,0.003228,0.635145,0.887577,0.129197,0,1
0.013801,0.361021,0.488988,0.343789,0.386548,0.376358,0.017694,0.488566,0.005433,0.571895,0.925498,0.219692,0,1
0.027369,0.399333,0.714251,0.273601,0.249335,0.314898,0.017659,0.566253,0.004118,0.48339,0.58797,0.085381,0,1
0.017754,0.343979,0.584247,0.216679,0.218834,0.418697,0.044258,0.537661,0.005009,0.533155,0.823477,0.160158,0,1
0.0239,0.401837,0.515495,0.24385,0.309386,0.399989,0.159149,0.49194,0.005009,0.505489,0.783446,0.187662,0,1
0.015538,0.410533,0.397241,0.343446,0.373393,0.449356,0.044243,0.586951,0.004797,0.509195,0.814663,0.177963,0,1
0.029398,0.377328,0.499879,0.273396,0.321843,0.333281,0.185692,0.646945,0.005857,0.581803,0.813286,0.119441,0,1
0.015998,0.392711,0.526208,0.29792,0.189172,0.349597,0.017677,0.62214,0.006069,0.54198,0.855029,0.110816,0,1
0.028757,0.384408,0.523806,0.268881,0.235561,0.367721,0.159149,0.644078,0.01341,0.632382,0.877716,0.165092,0,1
0.009744,0.377508,0.420644,0.349114,0.460311,0.441379,0.017675,0.585313,0.001953,0.479105,0.879524,0.177948,0,1
0.013737,0.334702,0.449035,0.341112,0.417038,0.382034,0.044261,0.490739,0.002337,0.512131,0.915938,0.258783,0,1
0.022285,0.394747,0.501126,0.350143,0.308654,0.296381,0.185696,0.776487,0.00696,0.524983,0.833811,0.176666,0,1
0.016916,0.353359,0.649377,0.338887,0.341609,0.396893,0.159149,0.628405,0.002209,0.491905,0.87753,0.231824,0,1
0.02265,0.327608,0.496555,0.210228,0.127143,0.322987,0.159149,0.547182,0.006072,0.571106,0.897207,0.276275,0,1
0.009634,0.39964,0.419616,0.190746,0.232005,0.325919,0.017701,0.505701,0.002209,0.515616,0.950229,0.23196,0,1
0.042136,0.355976,0.592461,0.262626,0.201847,0.356265,0.18572,0.804057,0.005434,0.576162,0.942769,0.331803,0,1
0.059972,0.323156,0.357721,0.225748,0.256207,0.021512,0.229921,0.00013,0.032087,0.61675,0.679787,0.202871,0.185066,1
0.008608,0.390197,0.573112,0.23349,0.392787,0.437298,0.017699,0.497767,0.000299,0.423349,0.845756,0.162734,0,1
0.023208,0.39042,0.589591,0.243981,0.246466,0.382233,0.017671,0.630565,0.012645,0.630042,0.843911,0.09458,0,1
0.012764,0.400976,0.54407,0.271565,0.364686,0.413306,0,0.753362,0.00437,0.455226,0.703675,0.102135,0,1
0.60046,0.39047,0.526368,0.328259,0.235517,0.449154,0.999982,0.559159,0.002846,0.548015,0.934287,0.919096,0,1
0.008238,0.39488,0.476874,0.195021,0.216383,0.376143,0.017701,0.378017,0.000384,0.472397,0.946395,0.219279,0,1
0.014343,0.423219,0.519052,0.136433,0.10907,0.383549,0.017659,0.659047,0.002463,0.494714,0.797796,0.148513,0,1
0.008054,0.393843,0.458117,0.4382,0.463588,0.361365,0.017675,0.71778,0.003522,0.385825,0.724326,0.197264,0,1
0.021254,0.404583,0.437485,0.314305,0.299714,0.376585,0.185692,0.898,0.007553,0.430485,0.66051,0.18788,0,1
0.153005,0.420515,0.239979,0.288653,0.370351,0.243284,0.574956,0.458926,0.006918,0.5779,0.73447,0.175777,0.005127,1
0.043167,0.375124,0.39469,0.22551,0.211056,0.401609,0.1857,0.18863,0.006283,0.52291,0.740083,0.210782,0.009133,1
0.03823,0.390172,0.416254,0.247283,0.318927,0.37629,0.185703,0.588485,0.00904,0.606134,0.858068,0.169683,0,1
0.020765,0.406419,0.610247,0.317881,0.23591,0.484203,0.159149,0.769118,0.004371,0.461745,0.707606,0.122096,0,1
0.024103,0.415122,0.441524,0.370672,0.253521,0.250166,0.185703,0.570354,0.002208,0.504806,0.929295,0.289491,0,1
0.056872,0.419753,0.618672,0.264505,0.280142,0.43482,0.01777,0.554632,0.012227,0.775814,0.851386,0.086,0,1
0.036641,0.373137,0.415609,0.326558,0.454573,0.388169,0.185696,0.920538,0.004798,0.512576,0.812026,0.242828,0,1
0.012686,0.402726,0.55562,0.248466,0.28125,0.394113,0.0001,0.841505,0.007256,0.595217,0.947909,0.145641,0,1
0.021074,0.43248,0.553269,0.224194,0.22947,0.386601,0.017687,0.59489,0.007851,0.618727,0.884328,0.097769,0,1
0.01142,0.393554,0.417975,0.231794,0.26124,0.321552,0.044268,0.472249,0.002335,0.51369,0.932333,0.249302,0,1
0.017377,0.377464,0.551653,0.321932,0.289798,0.379929,0.159149,0.520153,0.002082,0.49279,0.892262,0.233596,0,1
0.028455,0.414945,0.577149,0.305866,0.052493,0.337956,0.159149,0.481589,0.006282,0.564402,0.790759,0.153199,0.030284,1
0.011629,0.406747,0.535133,0.247495,0.125309,0.36522,0.017699,0.518127,0.000425,0.509952,0.887009,0.113086,0,1
0.02411,0.404001,0.483016,0.273099,0.299475,0.379364,0.159149,0.654549,0.00522,0.552738,0.820388,0.139583,0,1
0.027824,0.362859,0.760177,0.207232,0.228076,0.357368,0.159158,0.616329,0.005222,0.552682,0.882451,0.249201,0,1
0.019197,0.402184,0.704717,0.27758,0.245941,0.405164,0.017686,0.560153,0.002463,0.514786,0.763357,0.092022,0,1
0.018101,0.419835,0.403588,0.372488,0.409258,0.457166,0.044252,0.588292,0.005222,0.573216,0.89251,0.176774,0,1
