@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithouNans50_WithoutNames-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATS1m numeric
@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS5c numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS1c numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute RotBtFrac numeric
@attribute EE_D numeric
@attribute MWC10 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
0.338781,0.054765,0.270309,0.585563,0.565169,0.651917,0.341845,0.618672,0.367045,0.264505,0.332796,0.206688,0.280142,0.486734,0.43482,0.01777,0.554632,1,0.000029,0.845703,0.851541,0.851386,0.099416,0.533333,0.649496,0.715766,0.086,0,1
0.09368,0.015182,0.217128,0.645873,0.5244,0.529573,0.443147,0.551653,0.291647,0.321932,0.322301,0.20385,0.289798,0.624867,0.379929,0.159149,0.520153,0.159668,0.000005,0.537182,0.892262,0.892262,0.262926,0.368421,0.084912,0.543813,0.233596,0,1
0.076704,0.013322,0.219511,0.523291,0.485605,0.502643,0.478911,0.609101,0.358467,0.23419,0.387981,0.138277,0.345162,0.446742,0.327979,0.159149,0.611076,0.10898,0.000005,0.523731,0.927602,0.927602,0.276242,0.25,0.060247,0.42696,0.220092,0,1
0.016902,0.000891,0.247793,0.441245,0.40502,0.598038,0.345654,0.593932,0.425054,0,0.387442,0.22394,0,0.558167,0.368476,0.017641,0.554229,0.032254,0.000001,0.361741,0.94467,0.889338,0.176918,0.222222,0.016048,0.202483,0.219,0,1
0.152598,0.025653,0.198762,0.59123,0.247135,0.52172,0.383746,0.760177,0.335069,0.207232,0.444028,0.230007,0.228076,0.430051,0.357368,0.159158,0.616329,0.25875,0.000003,0.60247,0.882451,0.882451,0.272484,0.37037,0.160762,0.638288,0.249201,0,1
0.123835,0.015907,0.270412,0.568717,0.750004,0.67262,0.308301,0.403588,0.375214,0.372488,0.39075,0.276361,0.409258,0.500453,0.457166,0.044252,0.588292,0.322202,0.000003,0.624854,0.89251,0.89251,0.190479,0.296296,0.148712,0.604846,0.176774,0,1
0.135314,0.016934,0.177409,0.343529,0.504454,0.360146,0.554908,0.620228,0.292976,0.379148,0.37888,0.192181,0.291899,0.503985,0.417219,0.159149,0.628028,0.189633,0.000004,0.550956,0.872601,0.856171,0.256732,0.363636,0.121903,0.485655,0.22268,0,1
0.134134,0.015727,0.17542,0.810232,0.194531,0.45574,0.270818,0.886959,0.340158,0.188422,0.275612,0.215095,0.282014,0.428052,0.374789,0.159149,0.644019,0.185524,0.000003,0.556921,0.900877,0.900877,0.283456,0.227273,0.09053,0.655746,0.249708,0,1
0.102867,0.011417,0.253118,0.525278,0.711508,0.649536,0.477203,0.466647,0.393323,0.354328,0.373755,0.215272,0.37804,0.440713,0.338663,0.017642,0.587504,0.249196,0.000005,0.593015,0.885536,0.885536,0.121387,0.25,0.116111,0.566483,0.143177,0,1
0.229896,0.032797,0.274954,0.556875,0.49422,0.682763,0.41259,0.530527,0.274133,0.300973,0.321139,0.174096,0.358624,0.400903,0.371917,0.159158,0.555682,0.534048,0.000004,0.689101,0.900112,0.888407,0.264501,0.375,0.353151,0.655301,0.243401,0,1
0.142846,0.020692,0.24205,0.571977,0.628533,0.61798,0.269827,0.490459,0.414166,0.239596,0.303819,0.290327,0.282513,0.455188,0.490777,0.159149,0.593367,0.39974,0.000004,0.57292,0.818269,0.818269,0.239472,0.178571,0.147918,0.624992,0.201005,0,1
0.101563,0.015367,0.181015,0.462526,0.364601,0.402542,0.278247,0.715993,0.254896,0.247639,0.261611,0.242975,0.360912,0.427933,0.308594,0.159149,0.510022,0.098596,0.000002,0.486913,0.81672,0.81672,0.270858,0.5,0.070292,0.422468,0.204927,0,1
0.120527,0.013871,0.236154,0.567448,0.758506,0.60373,0.297409,0.413886,0.312453,0.351859,0.280308,0.243722,0.427804,0.515515,0.437998,0.044243,0.591884,0.307561,0.000004,0.559334,0.804662,0.804662,0.168607,0.185185,0.139581,0.605266,0.171742,0,1
