@relation trainingSetWithClass-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATS1m numeric
@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS5c numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS1c numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute RotBtFrac numeric
@attribute EE_D numeric
@attribute MWC10 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
0.054382,0.019487,0.414021,0.546835,0.766272,0.662589,0.296804,0.404465,0.345861,0.324623,0.344731,0.251146,0.34637,0.490783,0.425154,0.044258,0.594296,0.362126,0.000004,0.578329,0.863268,0.863268,0.164433,0.266667,0.165697,0.630788,0.159842,0,1
0.056523,0.02065,0.437981,0.509769,0.771647,0.709232,0.334817,0.393402,0.365562,0.396352,0.373113,0.248785,0.477451,0.462921,0.462552,0.044263,0.596484,0.378177,0.000004,0.5281,0.772631,0.772631,0.18562,0.290323,0.175421,0.648284,0.169611,0,1
0.044661,0.017326,0.369779,0.572325,0.494997,0.444932,0.497188,0.633184,0.33065,0.287597,0.336889,0.279512,0.516286,0.504187,0.357956,0.159149,0.749746,0.139789,0.000005,0.467862,0.851078,0.831874,0.247345,0.315789,0.087957,0.46868,0.209926,0,1
0.010826,0.005383,0.378329,0.166139,0.423536,0.442525,0.413584,0.535855,0.548783,0.688237,0.556658,0.027457,0.899159,0.559591,0.255259,0.017675,0.542194,0.049138,0.000003,0.416048,0.960706,0.960706,0.160675,0.363636,0.027615,0.310473,0.204038,0,1
0.046945,0.017754,0.343979,0.607187,0.486061,0.480509,0.421567,0.584247,0.339103,0.216679,0.334391,0.23878,0.218834,0.545445,0.418697,0.044258,0.537661,0.262615,0.000005,0.533155,0.823477,0.823477,0.177956,0.269231,0.169335,0.516681,0.160158,0,1
0.043311,0.015538,0.410533,0.553925,0.782399,0.656247,0.352993,0.397241,0.343349,0.343446,0.323231,0.261407,0.373393,0.459051,0.449356,0.044243,0.586951,0.286716,0.000003,0.509195,0.814663,0.814663,0.188567,0.24,0.131116,0.558645,0.177963,0,1
0.026281,0.009744,0.377508,0.45991,0.699253,0.488272,0.330532,0.420644,0.365643,0.349114,0.282426,0.228344,0.460311,0.462791,0.441379,0.017675,0.585313,0.170234,0.000024,0.479105,0.879524,0.879524,0.141835,0.277778,0.069159,0.49189,0.177948,0,1
0.101416,0.040156,0.348724,0.593524,0.587766,0.568073,0.517153,0.529672,0.31843,0.256741,0.285438,0.180843,0.304184,0.472344,0.404189,0.017722,0.548854,0.969104,0.00002,0.75514,0.915337,0.935258,0.176121,0.387755,0.502801,0.588433,0.153299,0,1
0.037242,0.014343,0.423219,0.464634,0.529535,0.7445,0.433176,0.519052,0.437221,0.136433,0.466804,0.202464,0.10907,0.610597,0.383549,0.017659,0.659047,0.196392,0.000003,0.494714,0.738671,0.797796,0.144819,0.454545,0.120403,0.477058,0.148513,0,1
0.116951,0.050625,0.353908,0.603927,0.556525,0.530099,0.349781,0.51955,0.298233,0.274283,0.297194,0.180871,0.293834,0.517841,0.381817,0.185703,0.699591,0.959683,0.000013,0.69335,0.859227,0.859227,0.195584,0.272727,0.715406,0.678161,0.182742,0,1
0.131217,0.056872,0.419753,0.585563,0.565169,0.651917,0.341845,0.618672,0.367045,0.264505,0.332796,0.206688,0.280142,0.486734,0.43482,0.01777,0.554632,1,0.000029,0.775814,0.851541,0.851386,0.099416,0.533333,0.649496,0.701757,0.086,0,1
0.036284,0.017377,0.377464,0.645873,0.5244,0.529573,0.443147,0.551653,0.291647,0.321932,0.322301,0.20385,0.289798,0.624867,0.379929,0.159149,0.520153,0.159668,0.000005,0.49279,0.892262,0.892262,0.262926,0.368421,0.084912,0.533169,0.233596,0,1
0.029709,0.015521,0.379359,0.523291,0.485605,0.502643,0.478911,0.609101,0.358467,0.23419,0.387981,0.138277,0.345162,0.446742,0.327979,0.159149,0.611076,0.10898,0.000005,0.48045,0.927602,0.927602,0.276242,0.25,0.060247,0.418603,0.220092,0,1
0.006546,0.003118,0.401849,0.441245,0.40502,0.598038,0.345654,0.593932,0.425054,0,0.387442,0.22394,0,0.558167,0.368476,0.017641,0.554229,0.032254,0.000001,0.331847,0.94467,0.889338,0.176918,0.222222,0.016048,0.19852,0.219,0,1
0.059105,0.027824,0.362859,0.59123,0.247135,0.52172,0.383746,0.760177,0.335069,0.207232,0.444028,0.230007,0.228076,0.430051,0.357368,0.159158,0.616329,0.25875,0.000003,0.552682,0.882451,0.882451,0.272484,0.37037,0.160762,0.625795,0.249201,0,1
0.047964,0.018101,0.419835,0.568717,0.750004,0.67262,0.308301,0.403588,0.375214,0.372488,0.39075,0.276361,0.409258,0.500453,0.457166,0.044252,0.588292,0.322202,0.000003,0.573216,0.89251,0.89251,0.190479,0.296296,0.148712,0.593007,0.176774,0,1
0.05241,0.019125,0.345879,0.343529,0.504454,0.360146,0.554908,0.620228,0.292976,0.379148,0.37888,0.192181,0.291899,0.503985,0.417219,0.159149,0.628028,0.189633,0.000004,0.505425,0.872601,0.856171,0.256732,0.363636,0.121903,0.47615,0.22268,0,1
0.051953,0.01792,0.344298,0.810232,0.194531,0.45574,0.270818,0.886959,0.340158,0.188422,0.275612,0.215095,0.282014,0.428052,0.374789,0.159149,0.644019,0.185524,0.000003,0.510897,0.900877,0.900877,0.283456,0.227273,0.09053,0.642912,0.249708,0,1
0.039843,0.01362,0.406083,0.525278,0.711508,0.649536,0.477203,0.466647,0.393323,0.354328,0.373755,0.215272,0.37804,0.440713,0.338663,0.017642,0.587504,0.249196,0.000005,0.544008,0.885536,0.885536,0.121387,0.25,0.116111,0.555395,0.143177,0,1
0.089044,0.034952,0.423447,0.556875,0.49422,0.682763,0.41259,0.530527,0.274133,0.300973,0.321139,0.174096,0.358624,0.400903,0.371917,0.159158,0.555682,0.534048,0.000004,0.632154,0.900112,0.888407,0.264501,0.375,0.353151,0.642475,0.243401,0,1
0.055328,0.022875,0.397281,0.571977,0.628533,0.61798,0.269827,0.490459,0.414166,0.239596,0.303819,0.290327,0.282513,0.455188,0.490777,0.159149,0.593367,0.39974,0.000004,0.525574,0.818269,0.818269,0.239472,0.178571,0.147918,0.61276,0.201005,0,1
0.039338,0.017561,0.348747,0.462526,0.364601,0.402542,0.278247,0.715993,0.254896,0.247639,0.261611,0.242975,0.360912,0.427933,0.308594,0.159149,0.510022,0.098596,0.000002,0.446674,0.81672,0.81672,0.270858,0.5,0.070292,0.414199,0.204927,0,1
0.046683,0.016069,0.392593,0.567448,0.758506,0.60373,0.297409,0.413886,0.312453,0.351859,0.280308,0.243722,0.427804,0.515515,0.437998,0.044243,0.591884,0.307561,0.000004,0.51311,0.804662,0.804662,0.168607,0.185185,0.139581,0.59342,0.171742,0,1
0.078729,0.034915,0.444526,0.582507,0.555768,0.74309,0.410718,0.486041,0.270511,0.343405,0.325422,0.202663,0.434391,0.421549,0.380406,0.159158,0.61332,0.427646,0.000004,0.590736,0.838983,0.838983,0.254512,0.342857,0.267258,0.637327,0.207762,0,1
0.061665,0.025209,0.416194,0.539796,0.526566,0.682379,0.3965,0.508583,0.341151,0.255902,0.405493,0.206964,0.368111,0.491756,0.418834,0.159158,0.606655,0.300779,0.000003,0.5842,0.957076,0.957076,0.311794,0.321429,0.180422,0.599238,0.289015,0,1
0.06134,0.023174,0.392349,0.649891,0.301823,0.601045,0.349326,0.839906,0.350852,0.215873,0.473653,0.255465,0.252622,0.484617,0.308101,0.159149,0.614618,0.370714,0.000008,0.556148,0.847565,0.847565,0.212251,0.290323,0.20028,0.650929,0.214244,0,1
0.070772,0.031068,0.562649,0.584142,0.669356,0.827222,0.385349,0.511953,0.367035,0.264685,0.325003,0.184139,0.261558,0.472867,0.357229,0.017731,0.577873,0.444097,0.126266,0.664644,0.857412,0.888043,0.153837,0.485714,0.269147,0.61185,0.126495,0,1
0.052387,0.033365,0.41513,0.569296,0.750323,0.66591,0.310937,0.272247,0.417827,0.249332,0.334052,0.247633,0.389868,0.365193,0.477986,0.1857,0.357991,0.316012,0.000004,0.522757,0.810193,0.805559,0.292478,0.25,1,0.623163,0.236053,0.004006,1
0.064978,0.028376,0.504099,0.583862,0.600984,0.806596,0.435306,0.574002,0.395005,0.287492,0.362171,0.200226,0.276276,0.441216,0.416634,0.017701,0.682191,0.407192,0.000009,0.656794,0.866375,0.880624,0.140628,0.454545,0.244132,0.595912,0.103487,0,1
0.129388,0.053058,0.274148,0.597156,0.530555,0.511233,0.373621,0.623623,0.352417,0.252758,0.304682,0.222388,0.254795,0.482479,0.457127,0.017767,0.530083,1,0.000035,0.742434,0.804463,0.827566,0.096412,0.433333,0.622716,0.708703,0.102578,0,1
0.070753,0.030596,0.378342,0.552086,0.427457,0.578892,0.556453,0.771511,0.36595,0.310126,0.47163,0.189777,0.29381,0.510188,0.307518,0.159149,0.515935,0.421739,0.000021,0.608894,0.851209,0.851209,0.196048,0.470588,0.287646,0.634954,0.171737,0,1
0.067996,0.030109,0.5222,0.581818,0.650086,0.797422,0.411347,0.530093,0.373509,0.271222,0.33046,0.174805,0.255783,0.463331,0.363169,0.017713,0.577897,0.42577,0.000011,0.673731,0.874047,0.902038,0.151565,0.470588,0.257345,0.598513,0.113641,0,1
0.067064,0.028634,0.392335,0.569584,0.437032,0.603543,0.475392,0.606862,0.359111,0.215977,0.381123,0.200293,0.232688,0.520976,0.380121,0.159165,0.510118,0.333252,0.000003,0.590155,0.921699,0.921699,0.284629,0.4,0.208091,0.632891,0.2657,0,1
0.205559,0.089933,0.442191,0.672101,0.627903,0.664266,0.553871,0.474681,0.313582,0.251274,0.293742,0.209461,0.313611,0.407371,0.361827,0.159156,0.654102,1,0.000072,0.609701,0.547347,0.557735,0.163046,0.581395,1,0.666131,0.110007,0.065695,1
0.10055,0.042032,0.379663,0.515462,0.650384,0.574384,0.425961,0.460273,0.441457,0.251513,0.389313,0.171477,0.216192,0.64521,0.474258,0.159176,0.640212,0.507951,0.000005,0.619979,0.914945,0.90523,0.357421,0.384615,0.346646,0.681428,0.326624,0,1
0.141112,0.052697,0.35671,0.55572,0.645783,0.584572,0.314453,0.516649,0.301752,0.26094,0.247687,0.202988,0.313018,0.460059,0.438599,0.01774,0.560771,1,0.000009,0.766642,0.849149,0.853727,0.109439,0.279412,0.787551,0.750433,0.120397,0,1
0.060481,0.02099,0.43545,0.54104,0.757085,0.708979,0.283096,0.411456,0.338999,0.310611,0.34708,0.244223,0.361892,0.473843,0.387471,0.044243,0.594407,0.450589,0.000004,0.604467,0.879753,0.879753,0.154874,0.212121,0.191997,0.655014,0.155299,0,1
0.242634,0.093739,0.443686,0.615104,0.585445,0.660023,0.384421,0.49086,0.300205,0.223136,0.295338,0.189175,0.291391,0.434302,0.350002,0.185701,0.58223,?,?,0.886951,0.904941,0.921627,0.193037,0.3,1,0.818148,0.189498,0,1
0.071606,0.028099,0.410639,0.567298,0.481521,0.656492,0.411435,0.547456,0.326485,0.268406,0.347232,0.210107,0.270177,0.476078,0.434229,0.159158,0.473247,0.366675,0.000004,0.61281,0.952264,0.952264,0.303941,0.375,0.240024,0.607316,0.2858,0,1
0.107996,0.039818,0.445831,0.693555,0.674938,0.715944,0.433243,0.464217,0.311605,0.243073,0.355609,0.210444,0.313586,0.575098,0.344785,0.159158,0.635583,0.729918,0.000007,0.687949,0.92607,0.919197,0.262823,0.333333,0.484691,0.672401,0.24058,0,1
0.077658,0.030849,0.39165,0.648855,0.431262,0.587936,0.370867,0.613106,0.374201,0.205732,0.407441,0.210549,0.283314,0.519592,0.423808,0.159167,0.642939,0.39492,0.000014,0.584936,0.929972,0.929972,0.344369,0.3125,0.240845,0.600393,0.323341,0,1
0.047819,0.021666,0.397583,0.673206,0.251655,0.613778,0.400559,0.887622,0.357703,0.202317,0.443196,0.270333,0.276958,0.487345,0.352976,0.159149,0.626305,0.251993,0.000006,0.529743,0.842171,0.842171,0.201644,0.32,0.147489,0.602214,0.185566,0,1
0.063525,0.020658,0.409895,0.651937,0.704157,0.647943,0.257709,0.396996,0.376862,0.291461,0.334791,0.242735,0.326927,0.507105,0.413831,0.017709,0.67855,0.670641,0.000063,0.614064,0.895515,0.895515,0.140792,0.257143,0.202325,0.723769,0.194679,0,1
0.046959,0.016916,0.381705,0.613271,0.491127,0.510508,0.466909,0.640426,0.328731,0.267524,0.339438,0.245123,0.345406,0.517237,0.330472,0.159149,0.615635,0.15897,0.000004,0.491905,0.896733,0.87753,0.261487,0.3,0.105732,0.446614,0.231824,0,1
0.052897,0.023405,0.405031,0.606987,0.290865,0.640107,0.426726,0.839124,0.337717,0.264791,0.366596,0.215027,0.282387,0.491517,0.351137,0.159149,0.626871,0.277904,0.000006,0.551841,0.867954,0.855676,0.219643,0.37037,0.17048,0.618791,0.193353,0,1
0.034343,0.009728,0.38696,0.600656,0.719136,0.567026,0.267088,0.388636,0.30718,0.442827,0.215581,0.246715,0.498032,0.508218,0.500474,0.017684,0.572211,0.25969,0.000021,0.493996,0.908359,0.908359,0.170637,0.190476,0.085015,0.542929,0.23194,0,1
0.076955,0.030259,0.336027,0.558862,0.468266,0.467644,0.524544,0.529178,0.288517,0.257293,0.367748,0.174731,0.257783,0.387341,0.288262,0.159158,0.555171,0.246603,0.000007,0.539592,0.843279,0.826839,0.308562,0.482759,0.207697,0.583355,0.264918,0,1
0.008875,0.00458,0.408571,0.612004,0.634337,0.699385,0.294561,0.46998,0.419449,0.18965,0.353985,0.083402,0.180161,0.607342,0.346665,0.017642,0.603611,0.040575,0,0.402098,0.957557,0.957557,0.158796,0.3,0.023023,0.226925,0.181049,0,1
0.055441,0.035926,0.408046,0.569092,0.613376,0.649213,0.331391,0.362584,0.240814,0.324786,0.272559,0.160471,0.301307,0.426417,0.272041,0.1857,0.626326,0.151638,0.000005,0.534678,0.914786,0.898941,0.358751,0.571429,0.12852,0.451157,0.275021,0,1
0.115399,0.050907,0.433256,0.586487,0.554339,0.668663,0.366459,0.6455,0.372632,0.254973,0.336897,0.217895,0.264096,0.476517,0.440031,0.017743,0.692155,1,0.000031,0.760467,0.85196,0.85196,0.092649,0.481481,0.515488,0.691544,0.07522,0,1
0.076529,0.027948,0.425581,0.582788,0.404247,0.690444,0.455297,0.75763,0.335437,0.275384,0.452772,0.227482,0.331453,0.487008,0.304189,0.159149,0.596859,0.558515,0.000007,0.629482,0.883507,0.895726,0.191299,0.263158,0.303767,0.674717,0.200826,0,1
0.051141,0.018879,0.416791,0.558824,0.646914,0.661751,0.247812,0.43408,0.345109,0.277489,0.36964,0.276744,0.25991,0.540473,0.402804,0.044268,0.474255,0.338302,0.000004,0.533155,0.823477,0.823477,0.211833,0.321429,0.163116,0.595125,0.198132,0,1
0.023605,0.010112,0.37826,0.523425,0.577143,0.517127,0.473142,0.539318,0.383402,0.306638,0.369911,0.172212,0.322392,0.473193,0.322894,0.017659,0.55376,0.10898,0.000005,0.488596,0.912357,0.912357,0.163645,0.25,0.060247,0.418603,0.153721,0,1
0.041029,0.015268,0.374644,0.549544,0.524951,0.429006,0.490735,0.635618,0.366067,0.248437,0.489595,0.237167,0.411063,0.530802,0.363045,0.159149,0.749752,0.133493,0.000006,0.488596,0.934267,0.912357,0.243279,0.222222,0.080448,0.423834,0.224542,0,1
