@relation hetero_trainingSetWithClass

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute ATSC6e numeric
@attribute ATSC2i numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC4 numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute MPC9 numeric
@attribute TSRW numeric
@attribute AMW numeric
@attribute Class {0,1}

@data
2436.183269,0.357672,0.187914,-6.550845,-0.075537,0.086232,1.339471,0.820018,0.876519,1.156153,0.883729,0.906397,0.87694,31.972072,5.129484,163.520808,11.594974,4.916098,4.880894,0.839214,0.833204,13.058209,27,9.729491,5.814551,1
1958.27652,0.981499,-2.002562,-35.20772,0.146562,0.057859,0.751806,1.063511,1.541495,1.244223,1.694409,0.994564,1.204639,19.000609,4.549374,276.902173,7.767186,4.773661,4.773661,0.845815,0.845815,18.397008,210,10.829511,7.84332,1
2252.897118,-0.315735,0.250975,5.752632,-0.091032,-0.044682,1.146556,0.992587,1.000072,0.69357,0.428791,1.096604,1.023601,15.995928,5.248328,307.515697,13.611838,5.480586,5.461588,0.885419,0.882349,9.086712,122,10.621766,5.484029,1
3745.96145,-0.634396,-0.232844,11.00278,-0.14023,-0.121329,1.106112,0.977935,0.745032,0.728902,0.834346,1.166489,1.197577,34.97106,6.123657,185.8899,9.577997,4.875146,4.97771,0.922379,0.941785,24.076559,74,10.135591,10.153901,1
825.435064,0.295491,0.76565,-7.229173,0.008026,0.041639,1.015802,1.043679,1.102371,1.160031,1.0017,1.089932,1.013516,16.002056,3.471552,97.786459,10.703173,4.349649,4.349649,0.961554,0.961554,19.908366,31,9.699227,9.784286,1
3846.191452,-1.057607,0.416654,13.942134,-0.141838,-0.136444,1.027086,0.705308,0.914622,1.104524,0.697447,1.136388,0.749767,34.97201,6.125072,198.642707,14.871402,4.875146,5.028992,0.922379,0.951487,23.741072,79,10.22861,10.615026,1
2519.464718,-0.514273,0.248154,10.820417,-0.083652,-0.095195,1.006544,0.840423,1.134876,1.088075,0.752801,0.991608,0.858868,34.970156,5.204703,119.101735,8.329761,4.80197,4.80197,0.951942,0.951942,21.275298,34,9.831669,8.971161,1
3576.914987,2.822208,0.461076,-14.088502,-0.019363,0.176365,0.977583,0.969675,1.10627,1.160868,1.085558,0.950474,0.964945,34.969381,5.384835,200.177033,10.639623,5.423231,5.456565,0.918119,0.923763,20.390189,68,10.438108,7.069665,1
2521.542646,-0.139133,3.632298,18.874049,-0.246183,-0.014404,1.283869,1.105886,1.064091,1.781672,0.884855,1.161057,0.820098,15.99694,4.318749,287.593574,147065.034751,4.488428,4.488428,0.720591,0.720591,12.420431,54,10.525112,6.230864,1
1715.44739,-1.74419,0.886356,-10.362884,-0.120691,-0.126545,1.068284,0.986535,0.842711,1.115095,0.776611,1.170672,1.090425,19.000136,4.100631,196.454334,9.847871,4.805911,4.805911,0.880295,0.880295,17.976276,94,10.254813,7.662359,1
1529.669344,0.185602,-1.687837,0.26479,0.156624,0.015141,0.758173,0.998889,1.335734,1.07788,1.325119,0.986305,1.170271,18.998407,4.476653,213.231625,7.472376,4.653056,4.653056,0.874318,0.874318,18.558779,129,10.412892,8.003212,1
2691.704983,-0.777205,0.605275,-0.911163,0.01313,-0.124525,0.928377,0.678935,1.063295,0.487494,1.142176,1.025552,0.867973,34.968854,4.934321,337.571481,7.381555,5.116265,5.116265,0.873384,0.873384,15.088045,167,10.437258,6.882892,1
1043.832351,-0.771978,-0.511906,4.526738,0.078816,-0.120286,0.796982,1.063746,1.357778,0.941807,1.63358,0.994287,1.149498,15.998708,4.464153,132.143164,31.588027,4.461092,4.461092,0.918302,0.918302,15.993537,39,10.083473,8.002924,1
1378.682539,-2.013196,3.960605,53.31554,0.0295,-0.106844,0.844062,0.926386,1.326657,0.997552,1.480011,0.802405,0.994942,19.000414,3.742682,129.619829,7.011247,4.671781,4.671781,0.942995,0.942995,23.410638,58,10.263153,9.550387,1
2095.309116,-0.272127,-0.722407,15.277532,-0.051726,-0.04544,0.930445,0.66595,1.361779,0.707995,1.095369,0.839694,0.771874,34.96938,5.922557,288.48871,8.235295,4.704994,4.753774,0.878198,0.887303,17.307234,167,10.33767,7.978386,1
2125.960699,-2.218887,-2.223686,85.9642,-0.13278,-0.136882,0.922864,0.876069,0.817619,1.022548,0.451213,0.899097,0.841164,31.972073,4.173262,264.037541,11.002085,5.094528,5.048017,0.938865,0.930293,24.819014,114,10.55675,9.885249,1
1034.620425,-0.130255,0.328155,-8.049305,0.019476,-0.018323,0.795278,1.199644,0.741851,1.165931,0.823352,0.979288,0.848801,16.001682,3.856819,159.508073,5.693488,4.625054,4.694019,0.952053,0.966249,18.724964,52,10.008388,9.036904,1
3759.644776,-1.396329,-0.270259,8.349539,-0.171839,-0.186564,1.081905,0.782911,1.021409,1.192665,0.716326,1.073684,0.927833,34.97201,6.132879,214.220651,8.735573,5.028992,5.080274,0.951487,0.96119,24.647384,74,10.240852,10.948238,1
5255.06303,-2.347984,-8.101716,57.288621,-0.031935,-0.044539,0.692637,0.897478,0.877983,0.887442,0.909244,0.057859,0.056024,39.962593,-0.000008,529.363933,82.122681,5.33921,5.33921,0.782855,0.782855,18.443872,840,11.926041,8.480029,1
948.653389,-0.404047,-1.456632,-6.419268,-0.13047,-0.065136,1.049818,0.935548,0.908093,1.001661,1.393948,1.175545,1.138869,16.001383,3.796299,58.78661,10.084915,4.105389,4.105389,0.895403,0.895403,17.990777,4,9.525881,7.711668,1
1297.044241,-0.091494,0.059554,33.242163,-0.037073,-0.075526,1.001659,1.019331,1.056172,0.650265,1.294222,0.921489,1.076386,14.003084,5.746145,248.253514,9.739587,4.213513,4.308751,0.781392,0.799054,8.418257,102,10.10119,6.551605,1
1429.458524,0.553456,-1.478571,36.785833,-0.080008,0.086293,0.960171,1.271984,0.530617,1.556655,0.387073,1.30971,0.998889,15.996931,5.026643,150.353015,7.38617,4.348753,4.560667,0.822786,0.86288,16.157313,58,10.097902,7.439433,1
902.189546,-0.298347,0.834183,-3.439003,-0.017709,-0.048094,0.859124,1.467049,1.70425,1.792201,1.64521,1.165757,0.941115,15.998707,5.474698,182.102589,18.181181,3.865999,3.865999,0.813058,0.813058,12.064268,86,10.237671,8.372703,1
2008.844896,0.013087,-0.505647,0.774624,0.049311,0.004273,0.82491,0.967288,1.222399,1.084279,1.063642,0.831929,0.980751,34.968854,6.849539,187.727923,11.264013,4.216506,4.150913,0.781947,0.769783,13.814595,94,10.579743,8.193048,1
13055.087787,0.475034,0.182483,34.276272,-0.022953,0.035721,0.497386,0.418759,1.122634,1.049715,1.314326,0.989,0.633592,78.919338,3.499993,317.746744,20.619702,4.979677,5.091362,0.801951,0.819937,22.76388,101,10.932964,7.961354,1
1967.919826,0.066322,-0.000679,31.12245,-0.005239,0.033022,1.1114,1.186442,1.236307,0.813583,0.837212,0.783497,1.261025,31.972072,5.866342,231.659562,8.329277,4.350342,4.350342,0.80172,0.80172,13.726923,108,10.224846,6.93373,1
