@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithoutNans50

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute ATSC6e numeric
@attribute ATSC2i numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC4 numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute MPC9 numeric
@attribute TSRW numeric
@attribute AMW numeric
@attribute Class {0,1}

@data

1515.719982,0.632707,1.078275,-6.327404,-0.091688,0.049452,1.050444,0.899463,1.040877,1.011707,1.158769,1.167039,0.824165,16.002535,3.4769,190.006637,9.557284,4.670018,4.670018,0.883569,0.883569,18.234981,72,10.107163,8.310435,1
4986.57969,1.268444,-1.047056,16.246398,-0.05216,0.032956,1.150147,1.068728,1.015919,1.09068,0.96084,1.036824,1.177754,16.008407,4.279353,709.782713,43.669491,6.421519,6.421519,0.906039,0.906039,13.400004,331,11.338012,6.136363,1
28822.794578,-0.798951,-1.302683,-1.752793,-0.076721,-0.107106,0.943853,0.637033,0.557635,1.066846,0.835879,0.621983,0.809324,126.905473,5.007623,266.504935,10.591498,5.260457,5.260457,0.963554,0.963554,45.422365,106,10.562897,15.042095,1
75549.805572,?,?,-27.343438,-0.008067,0,0.099431,0.042393,0.070267,0,0,0.390083,0.297669,?,?,159.56153,19437.112952,3.874273,3.805739,0.598276,0.587692,42.422704,43,10.315034,11.159443,1
3140.973747,-0.820159,-0.564241,-42.570232,-0.084649,-0.147632,0.969169,0.559788,0.716157,0.441444,0.976339,0.82622,0.938645,34.970157,6.091553,458.151034,47.325559,5.106461,5.281182,0.883263,0.913484,16.510672,318,10.746476,8.584039,1
2604.870254,-0.283364,0.135536,-5.487986,-0.012011,-0.082704,0.945321,0.635646,0.771256,0.503211,0.794154,1.088527,0.845684,34.96938,5.157242,158.9565,9.850921,4.742319,4.754203,0.802845,0.804857,11.615856,26,9.802672,5.637691,1
1228.830728,-1.248951,-0.496585,8.255082,-0.073488,-0.125323,0.996174,0.987818,0.993664,0.935092,0.894151,0.856252,1.005049,15.997935,3.704835,123.832775,6.871778,4.72641,4.72641,0.945282,0.945282,18.682509,51,10.066881,8.346774,1
4952.458917,-1.186552,-2.686264,-0.829791,-0.026755,-0.031226,1.09005,1.02273,0.901121,1.053785,0.815742,1.050898,1.026373,16.008084,4.932887,709.782713,16.623489,6.384898,6.546662,0.900872,0.923696,12.245823,451,11.478117,6.430205,1
2944.451406,-0.367352,-3.489881,-4.665963,-0.006141,-0.021882,0.887342,1.092237,1.067868,1.251028,1.197954,1.172041,0.980792,31.973075,4.453143,382.522187,13.995521,5.563178,5.563178,0.962261,0.962261,22.759922,209,10.990685,9.655717,1
